# 全件の判定

| # | 出所 | 件名 | 判定 | 根拠 |
|---|---|---|---|---|
| 1 | A | #169 実機での本番検証（性能・発熱・操作性・読み込み） | 判定不能 | iPhone実機の発熱・体感は裕也さんの手作業でしか観測できない。机上で分かるのは描画コール・解像度・エラー数まで |
| 2 | A | #172 音の拡充：各シーンの環境音を豊かにする（薄いシーンの補強＋CC0新規） | 未対応 | public/audio の直下の数 = 9 （情景は全25なので、実音源のある情景の数と比べる） |
| 3 | A | #232 ④-d モノリス分割（安全網を張った上での段階分割） | 未対応 | town3dViewer.js:1 |
| 4 | A | #244 [P3] 二重WebGLコンテキスト解放（town3d中に#sceneをlose） | 未対応 | src/main.js を /loseContext/ で探した → 0件 |
| 5 | A | #260 B5/B6 観覧車の作り直し・建物の脱ローポリ | 未対応 | src/engine/town3dViewer.js を /buildLOD/建物LOD/LOD段階/ で探した → 0件 |
| 6 | A | #270 到達設計②: 行き先プレビュー＋渡しショートカット | 未対応 | src/main.js を /行き先/プレビュー/ショートカット/ で探した → 0件 |
| 7 | A | #276 エリア磨き(戦国/大正/谷戸/雲上/江戸) | 判定不能 | 磨きの完了条件が「商品レベル」という主観。コードの有無では判定できない。2026-07-28の棚卸しで「既に商品レベル・優先度は落とす」と判 |
| 8 | A | #277 歩行の迷子解消 | 未対応 | src/engine/town3dViewer.js を /道しるべ/walkGuide/歩行.*行き先の案内/ で探した → 0件 |
| 9 | A | #279 角部屋の見回しを真の3D視差へ | 不要になった | src/scenes/cornerRoom.js は 無い |
| 10 | A | #281 音: CC0/CC-BY実素材の導入 | 未対応 | public/audio の中身の総数 = 13 （25情景ぶんの環境音を賄うには到底足りない本数） |
| 11 | A | #285 人物を本当に人らしく（長期戦）: 原理調査→現状診断→再設計 | 未対応 | src/engine/town3dViewer.js の 6796〜6812行 を /buildLegs\(\)/ で探した → 0件 |
| 12 | A | #288 Phase 5: キャラ=セル/背景=リアル寄りの描き分け | 判定不能 | 2026-07で「キャラ=セルルック／背景=リアル寄り」は方針として確定済み（メモリ art-direction-cel-bg）。実装は各所 |
| 13 | A | #305 海岸線をさらに入り組ませ／渚を砂浜に広げ／島を拡大（実機FB次第） | 判定不能 | 汀のディテール（白波・流木・浜草）は addCoastDetail（town3dViewer.js:928）で実装済み。ただし『さらに入り組 |
| 14 | B | 9092行のうなずきを 1.6 → 1.11 に直す（頭の浮き） | 未対応 | town3dViewer.js:9092 |
| 15 | B | kimono/hakama/armor に buildLegs と手を通す | 未対応 | src/engine/town3dViewer.js の 6796〜6812行 を /buildLegs\(\)/ で探した → 0件 |
| 16 | B | 小物を arms[i] の子へ移す（刀・槍・杖が手に付く） | 未対応 | src/engine/town3dViewer.js の 6858〜6870行 を /arms\[/ で探した → 0件 |
| 17 | B | 体格の型6種＋身長の振れ幅を±14%へ | 未対応 | src/engine/town3dViewer.js の 6760〜6890行 を /体格/physique/bodyType/ で探した  |
| 18 | B | 江戸・戦国に女性・子供・老人を入れる（配役の入れ替え） | 未対応 | src/engine/town3dViewer.js の 6968〜6972行 を /bob/子供/老人/娘/童/ で探した → 0件 |
| 19 | B | 3Dの主人公 makeHero() を作り、歩行時に出す | 未対応 | src/engine/town3dViewer.js を /makeHero/ で探した → 0件 |
| 20 | B | makeResident に歩き癖の個体差を移植（makePeep の6値） | 未対応 | src/engine/town3dViewer.js の 6870〜6880行 を /gaitAmp/armAmp/cadMul/ で探した |
| 21 | B | 立ち絵の足元の0.21m浮きを直す（板の位置か影の位置） | 未対応 | town3dViewer.js:6749 |
| 22 | B | 帽子の下の髪を作り分ける（33体が同じ坊主頭） | 未対応 | src/engine/town3dViewer.js の 6840〜6870行 を /帽子の下/髪型の分岐/hairKind/ で探した → |
| 23 | B | 雲海の7体を島の設定に合わせる（巡礼・棚田・灯籠市・茶屋） | 未対応 | town3dViewer.js:6988 |
| 24 | B | 群衆の背丈の段階を増やす（3段階→8段階） | 未対応 | src/engine/town3dViewer.js を /mkCrowdPerson\(px, py, pz, [^)]*R\(\)/ で |
| 25 | B | 立ち絵を段階的に減らす（3Dの主人公と入れ替え） | 未対応 | town3dViewer.js:6745 |
| 26 | B | 時代エリアに降りたときの mkCrowdPerson / cityWalker の単価が未測 | 未対応 | docs/qa/2026-07-31/charcost.txt を /江戸/戦国/大正/ で探した → 0件 |
| 27 | B | 実機（iPhone）で測っていない。発熱の体感は別途の実機確認が要る | 判定不能 | #169 と同じ理由。実機の温感・バッテリーは裕也さんの手作業でしか得られない |
| 28 | C | .topbar に z-index を与えて3Dの面より前に出す（窓をあけるが指を受け取るよ | 未対応 | src/style.css の 860〜872行 を /z-index/ で探した → 0件 |
| 29 | C | placeEra の配置半径を陸の縁に合わせる（rr = 8 + R() * 22 → 陸の | 未対応 | town3dViewer.js:6965 |
| 30 | C | 戦国の歩ける場所を作る（谷底の道幅を広げる／通行可能距離1mの8方位を潰す） | 判定不能 | 「詰まり率63%」は当たり判定と地形の組み合わせの実測値。コードの一箇所を見ても判定できない（scripts/qa-walk 相当の再測定が |
| 31 | C | 着物の袖を体に沿わせ、手先と足元を出す（makeResident の kimono 分岐） | 未対応 | src/engine/town3dViewer.js の 6796〜6812行 を /buildLegs\(\)/ で探した → 0件 |
| 32 | C | 谷戸に人を置く（kind !== 'yato' のゲートを人物だけ外す） | 未対応 | town3dViewer.js:6894 |
| 33 | C | 横持ち(900×500)のUIを直す（情景メニューのヘッダーのはみ出し・タップ44px・重な | 未対応 | git log --since=2026-07-30 --oneline -- src/style.css → 0行 |
| 34 | C | 歩行カメラを近接物で自動的に寄せる（checkBlock に樹冠・庇・人物も含める） | 未対応 | src/engine/town3dViewer.js を /camBlock/カメラ.*手前の物/カメラ.*樹冠.*寄せ/ で探した → 0 |
